set_name,instance_name,nodes,arcs,k_zero,density,scenarios,budget,policies,rep,solver,subsolver,objective,time_ms,unbounded,optimal,gap,cuts_rounds,cuts_added,avg_cbtime,avg_sptime,partition,m_sym,g_sym
layer,layer-52_5-5_7,52,420,5,0.158371,5,5,1,7,BENDERS,DIJ,983,4101,FALSE,TRUE,0,10,50,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_7,52,420,5,0.158371,5,5,2,7,BENDERS,DIJ,995.000001,10637,FALSE,TRUE,0,32,160,1,0,1-0-0-1-1,2,-1
layer,layer-52_5-5_7,52,420,5,0.158371,5,5,3,7,BENDERS,DIJ,1087,19963,FALSE,TRUE,0,61,305,0,0,1-2-2-1-0,2,-1
layer,layer-52_5-5_7,52,420,5,0.158371,5,5,4,7,BENDERS,DIJ,1095,15465,FALSE,TRUE,0,124,620,0,0,3-2-1-3-0,2,-1
layer,layer-52_5-5_7,52,420,5,0.158371,5,5,5,7,BENDERS,DIJ,1114.024064,3600000,FALSE,FALSE,6.562187,240,1200,0,0,2-3-0-4-1,2,-1
layer,layer-52_5-5_4,52,420,5,0.158371,5,5,1,4,BENDERS,DIJ,949.000001,3785,FALSE,TRUE,0,7,35,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_4,52,420,5,0.158371,5,5,2,4,BENDERS,DIJ,992,5268,FALSE,TRUE,0,37,185,1,0,0-1-0-1-1,2,-1
layer,layer-52_5-5_4,52,420,5,0.158371,5,5,3,4,BENDERS,DIJ,1006,260457,FALSE,TRUE,0,73,365,0,0,1-2-0-1-2,2,-1
layer,layer-52_5-5_4,52,420,5,0.158371,5,5,4,4,BENDERS,DIJ,1016,19085,FALSE,TRUE,0,131,655,0,0,1-3-0-2-3,2,-1
layer,layer-52_5-5_4,52,420,5,0.158371,5,5,5,4,BENDERS,DIJ,1109.001393,3600000,FALSE,FALSE,3.881762,302,1510,0,0,0-2-4-1-3,2,-1
layer,layer-52_5-5_5,52,420,5,0.158371,5,5,1,5,BENDERS,DIJ,970,2733,FALSE,TRUE,0,12,60,0,0,0-0-0-0-0,2,-1
layer,layer-52_5-5_5,52,420,5,0.158371,5,5,2,5,BENDERS,DIJ,1000,28882,FALSE,TRUE,0,43,215,0,0,1-1-0-0-1,2,-1
layer,layer-52_5-5_5,52,420,5,0.158371,5,5,3,5,BENDERS,DIJ,1018,66284,FALSE,TRUE,0,77,385,0,0,0-2-1-2-1,2,-1
layer,layer-52_5-5_5,52,420,5,0.158371,5,5,4,5,BENDERS,DIJ,1020,21330,FALSE,TRUE,0,120,600,0,0,0-2-3-1-3,2,-1
layer,layer-52_5-5_5,52,420,5,0.158371,5,5,5,5,BENDERS,DIJ,1119.000001,3600000,FALSE,FALSE,0.010724,213,1065,0,0,0-2-3-4-1,2,-1
